,year,sector,vab,emp,productividad,index,TCC,TCP_1,TCP_2,prod_tcc
204,2017,"Combustibles, quimicos y plasticos",294535.767356,63237,4.657649277416703,6.0,,,,
205,2018,"Combustibles, quimicos y plasticos",462858.979532937,60933,7.596195485745605,7.0,,,,
206,2019,"Combustibles, quimicos y plasticos",703011.912068,60755,11.571260177236441,8.0,,,,
207,2021,"Combustibles, quimicos y plasticos",1245520.9632406284,61303,20.3174553160633,9.0,,,,
208,2017,Resto industria,146245.632961,152576.0,0.9585100734125943,10.0,,,,
209,2018,Resto industria,206356.01675675495,147533.0,1.3987109104861621,11.0,,,,
210,2019,Resto industria,325893.470053,145770.0,2.2356689994717707,12.0,,,,
211,2020,Resto industria,462858.260541,144081.0,3.21248645234972,13.0,,,,
212,2021,Resto industria,682269.8599373589,134286.0,5.080722189486312,14.0,,,,
213,2017,Comunicaciones,179493.847442,67721.0,2.6504902089750595,15.0,,,,
214,2018,Comunicaciones,227956.78961412792,67747.0,3.3648248573977875,16.0,,,,
215,2019,Comunicaciones,326049.647017,65871.0,4.949820816702343,17.0,,,,
216,2020,Comunicaciones,441835.766388,64485.0,6.851760353384508,18.0,,,,
217,2021,Comunicaciones,569013.2253962541,64965.0,8.758765880031618,19.0,,,,
218,2017,Resto industria,26893.141527,23824.0,1.1288256181581597,20.0,,,,
219,2018,Resto industria,49370.40916997428,30276.0,1.6306780674453125,21.0,,,,
220,2019,Resto industria,58862.349323,28922.0,2.0352101971855334,22.0,,,,
221,2020,Resto industria,43592.273687,16985.0,2.566515966264351,23.0,,,,
222,2021,Resto industria,52878.20735046574,10633.0,4.97302805891712,24.0,,,,
223,2017,Resto industria,117010.747612,57067.0,2.050410002488303,25.0,,,,
224,2018,Resto industria,194771.80949253362,55472.0,3.5111733756225414,26.0,,,,
225,2019,Resto industria,273258.47711,55245.0,4.946302418499411,27.0,,,,
226,2020,Resto industria,388037.632345,57884.0,6.703711428805888,28.0,,,,
227,2021,Resto industria,493068.36767269584,56517.0,8.724248768913704,29.0,,,,
228,2017,Industria manufacturera,797712.006799,306250,2.604773899751837,30.0,,,,
229,2018,Industria manufacturera,1327301.5010026395,300586,4.415712977326421,31.0,,,,
230,2019,Industria manufacturera,1944288.433708,288817,6.731904402123144,32.0,,,,
231,2020,Industria manufacturera,2437003.287394,288746,8.439955141868632,33.0,,,,
232,2021,Industria manufacturera,3873365.5824511396,294295,13.161506591858984,34.0,,,,
233,2021,"Maquinarias, equipos y vehiculos",440824.3353131817,49836,8.845499946086798,35.0,,,,
234,2017,"Maquinarias, equipos y vehiculos",100151.035164,52811,1.896404824070743,36.0,,,,
235,2018,"Maquinarias, equipos y vehiculos",167449.33980381515,53103,3.1532934072239827,37.0,,,,
236,2019,"Maquinarias, equipos y vehiculos",210692.184125,47927,4.396106247522273,38.0,,,,
237,2020,"Maquinarias, equipos y vehiculos",254407.872441,47858,5.315890184316102,39.0,,,,
238,2017,Minas y canteras,211559.770066,40095.0,5.2764626528494825,40.0,,,,
239,2018,Minas y canteras,480223.9363763934,41872.0,11.46885595090737,41.0,,,,
240,2019,Minas y canteras,706772.54841,44632.0,15.835556291674136,42.0,,,,
241,2020,Minas y canteras,675237.182437,39998.0,16.88177364960748,43.0,,,,
